t1_saplings_agb_cut,t1_sasa_cut,mng_case,climate,t3_dom,min,median,mean,sd,max,n
<2 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,abiesach,8.02,11.5335,12.70326998223801,3.3704356255106647,26.128,1126
<2 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,acermono,18.717,21.815,21.643263157894737,1.3692047911959402,24.116,19
<2 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,betuerma,14.088,17.7835,18.701642857142858,2.9280840797092544,24.17,70
<2 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,crypjapo,17.434,18.92,19.04042857142857,0.9868735626063901,21.562,35
<2 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,fagucren,7.025,15.986,16.43939254658385,2.601609671535866,23.828,805
<2 kg/m2,<3 kg/m2,SL,RCP8.5 GFDL,larikaem,13.658,14.5025,14.480599999999999,0.5142874682509774,15.159,10
<2 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,abiesach,6.915,13.251,14.379547156227503,3.705963250679904,25.182,1389
<2 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,acermono,17.987,19.968,20.048285714285715,1.5751871544132692,21.887,7
<2 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,betuerma,4.244,15.2415,15.634602040816326,4.908400104134119,25.425,98
<2 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,crypjapo,16.121,19.585,19.70864,1.6002889030838567,22.945,25
<2 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,fagucren,3.822,11.4485,11.592567164179105,4.878683510485236,24.414,536
<2 kg/m2,<3 kg/m2,SL,RCP8.5 HadGEM2,larikaem,11.494,12.6395,12.604,0.579402374098615,13.396,10
<2 kg/m2,<5 kg/m2,CL,Current,sasa_spp,1.015,1.5554999999999999,1.77804,0.6333689642015573,4.219,350
<2 kg/m2,<5 kg/m2,CL,RCP2.6 MIROC5,abiesach,2.193,2.5175,2.5175,0.45891230099006936,2.842,2
<2 kg/m2,<5 kg/m2,CL,RCP2.6 MIROC5,betuerma,1.367,1.754,1.8158227848101265,0.34414925799991053,2.927,79
<2 kg/m2,<5 kg/m2,CL,RCP2.6 MIROC5,crypjapo,4.883,5.285,5.3328,0.3820476134559257,6.27,20
<2 kg/m2,<5 kg/m2,CL,RCP2.6 MIROC5,sasa_spp,0.989,1.462,1.5976586345381527,0.4263095856750708,3.454,249
<2 kg/m2,<5 kg/m2,CL,RCP8.5 CSIRO,abiesach,5.775,9.362,9.273,1.3481857716946875,12.487,49
